,Title,User_id,review/score,authors,categories
304,Xenocide),A1TIZI060W4BD9,5.0,['Kevin Valgaeren'],['Fiction']
307,Xenocide),A1OB5L3WMHJAD9,4.0,['Kevin Valgaeren'],['Fiction']
555,The Power Of Love,A2V6FC7GVZ6T7M,5.0,['Anthony Capella'],['Fiction']
577,The Power Of Love,A10Y3OZWENAQ6W,3.0,['Anthony Capella'],['Fiction']
583,The Power Of Love,A3NLJZI5NEOT0K,5.0,['Anthony Capella'],['Fiction']
586,The Power Of Love,A2PWUIQG57O1AZ,4.0,['Anthony Capella'],['Fiction']
834,Cruel and Unusual),A39650P2CZUUC9,4.0,['Patricia Cornwell'],['Fiction']
843,Cruel and Unusual),AFVQZQ8PW0L,5.0,['Patricia Cornwell'],['Fiction']
851,Cruel and Unusual),A2E9Q3T876TQ6C,4.0,['Patricia Cornwell'],['Fiction']
854,Cruel and Unusual),A2GBJQ9THOYDAJ,4.0,['Patricia Cornwell'],['Fiction']
868,Cruel and Unusual),ABWF7YVZAU1QP,4.0,['Patricia Cornwell'],['Fiction']
869,Cruel and Unusual),A1IOJE0W1NXOSE,4.0,['Patricia Cornwell'],['Fiction']
873,Cruel and Unusual),A19OQ7LWE2YJL3,3.0,['Patricia Cornwell'],['Fiction']
875,Cruel and Unusual),A1N1YEMTI9DJ86,5.0,['Patricia Cornwell'],['Fiction']
891,Cruel and Unusual),A1237ROTM7659,4.0,['Patricia Cornwell'],['Fiction']
900,Cruel and Unusual),A9JAYHZOARJX8,4.0,['Patricia Cornwell'],['Fiction']
907,Cruel and Unusual),AQCQ5F0OJXMG9,3.0,['Patricia Cornwell'],['Fiction']
911,Cruel and Unusual),A32K5HAYVG9AUJ,4.0,['Patricia Cornwell'],['Fiction']
937,Cruel and Unusual),A1F38YS15PWMRQ,2.0,['Patricia Cornwell'],['Fiction']
947,Cruel and Unusual),A38GIDCOD32T7F,5.0,['Patricia Cornwell'],['Fiction']
949,Cruel and Unusual),A2I5406XT0H9VD,4.0,['Patricia Cornwell'],['Fiction']
1038,From Potter's Field,A1N1YEMTI9DJ86,4.0,['Patricia Cornwell'],['Fiction']
1050,From Potter's Field,A1N01YOBWF8WDP,4.0,['Patricia Cornwell'],['Fiction']
1053,From Potter's Field,A1237ROTM7659,5.0,['Patricia Cornwell'],['Fiction']
1078,From Potter's Field,A1F38YS15PWMRQ,5.0,['Patricia Cornwell'],['Fiction']
1083,From Potter's Field,A37PV5GMP2ILJC,4.0,['Patricia Cornwell'],['Fiction']
1107,From Potter's Field,A3MV1KKHX51FYT,3.0,['Patricia Cornwell'],['Fiction']
1115,From Potter's Field,A3AY3EV2MFRFGG,1.0,['Patricia Cornwell'],['Fiction']
1120,From Potter's Field,A32K5HAYVG9AUJ,5.0,['Patricia Cornwell'],['Fiction']
1121,From Potter's Field,A11M98R135HMSY,5.0,['Patricia Cornwell'],['Fiction']
1122,From Potter's Field,A2E9Q3T876TQ6C,5.0,['Patricia Cornwell'],['Fiction']
1126,From Potter's Field,A9JAYHZOARJX8,4.0,['Patricia Cornwell'],['Fiction']
