,Title,User_id,review/score
834,Cruel and Unusual (G K Hall Large Print Book Series (Cloth)),A39650P2CZUUC9,4.0
843,Cruel and Unusual (G K Hall Large Print Book Series (Cloth)),AFVQZQ8PW0L,5.0
851,Cruel and Unusual (G K Hall Large Print Book Series (Cloth)),A2E9Q3T876TQ6C,4.0
854,Cruel and Unusual (G K Hall Large Print Book Series (Cloth)),A2GBJQ9THOYDAJ,4.0
868,Cruel and Unusual (G K Hall Large Print Book Series (Cloth)),ABWF7YVZAU1QP,4.0
869,Cruel and Unusual (G K Hall Large Print Book Series (Cloth)),A1IOJE0W1NXOSE,4.0
873,Cruel and Unusual (G K Hall Large Print Book Series (Cloth)),A19OQ7LWE2YJL3,3.0
875,Cruel and Unusual (G K Hall Large Print Book Series (Cloth)),A1N1YEMTI9DJ86,5.0
900,Cruel and Unusual (G K Hall Large Print Book Series (Cloth)),A9JAYHZOARJX8,4.0
907,Cruel and Unusual (G K Hall Large Print Book Series (Cloth)),AQCQ5F0OJXMG9,3.0
937,Cruel and Unusual (G K Hall Large Print Book Series (Cloth)),A1F38YS15PWMRQ,2.0
949,Cruel and Unusual (G K Hall Large Print Book Series (Cloth)),A2I5406XT0H9VD,4.0
1747,The Scarlet Letter A Romance,AUM3YMZ0YRJE0,5.0
1761,The Scarlet Letter A Romance,A1FEEFAK5Y45M2,1.0
1772,The Scarlet Letter A Romance,A122H2TEE3VUKW,3.0
1789,The Scarlet Letter A Romance,A1JIPFV4OL520T,5.0
1794,The Scarlet Letter A Romance,A59LBV682DWGM,3.0
1795,The Scarlet Letter A Romance,A1BJLZ8UNAZX2D,3.0
1807,The Scarlet Letter A Romance,AMKZHBOK7VMQR,5.0
1815,The Scarlet Letter A Romance,A2F35SS0RKWSO2,5.0
1820,The Scarlet Letter A Romance,AWLFVCT9128JV,4.0
1829,The Scarlet Letter A Romance,ABN5K7K1TM1QA,5.0
1830,The Scarlet Letter A Romance,A3IKBHODOTYYHM,4.0
1833,The Scarlet Letter A Romance,A3KF4IP2MUS8QQ,5.0
1834,The Scarlet Letter A Romance,A1ARA52HB238HT,5.0
1836,The Scarlet Letter A Romance,A1AAND6JLJGCV2,3.0
1839,The Scarlet Letter A Romance,A1N1YEMTI9DJ86,5.0
1844,The Scarlet Letter A Romance,AJAF1T6Q7XM94,2.0
1850,The Scarlet Letter A Romance,A1D2C0WDCSHUWZ,5.0
1851,The Scarlet Letter A Romance,A2AYSFGUP5VTY3,5.0
1867,The Scarlet Letter A Romance,A3NI29U4P5NQF1,5.0
1872,The Scarlet Letter A Romance,A18MG1GPSEAPE9,3.0
1884,The Scarlet Letter A Romance,A9RUU8JSKU7G1,4.0
1886,The Scarlet Letter A Romance,AGEIT17HENDIS,5.0
1890,The Scarlet Letter A Romance,AJ7SKEX269O9U,5.0
1899,The Scarlet Letter A Romance,A2X6GEC6LCDN4S,5.0
1904,The Scarlet Letter A Romance,AC7MP9R2FKEAI,5.0
1926,The Scarlet Letter A Romance,A2SHQJP6PNQTLD,4.0
1937,The Scarlet Letter A Romance,A7N5UKGJZB6RQ,5.0
1939,The Scarlet Letter A Romance,A3R1D7LZUJ2H6H,5.0
1985,The Scarlet Letter A Romance,A3MMPJ7OJDEAI0,5.0
1988,The Scarlet Letter A Romance,A3ACC417FVZDH9,5.0
2021,The Scarlet Letter A Romance,A30VUMM1U58VPK,3.0
2023,The Scarlet Letter A Romance,A20EEWWSFMZ1PN,3.0
2024,The Scarlet Letter A Romance,A37PV5GMP2ILJC,5.0
2038,The Scarlet Letter A Romance,A96K1ZGW56S2I,5.0
2048,The Scarlet Letter A Romance,A3JSRMS7FO6EKQ,4.0
2062,The Scarlet Letter A Romance,A1K1JW1C5CUSUZ,5.0
2064,The Scarlet Letter A Romance,A2XZKGL6DJA03,1.0
2069,The Scarlet Letter A Romance,A2F540P3L6P5CL,5.0
2084,The Scarlet Letter A Romance,A3UJ50L3ST5G95,4.0
2086,The Scarlet Letter A Romance,A1NZH03BZTSPS2,4.0
2087,The Scarlet Letter A Romance,A370Z6I5GBWU44,4.0
2115,The Scarlet Letter A Romance,A2FQWV725FGE8S,5.0
2116,The Scarlet Letter A Romance,A1EEW7AS30AK5Q,4.0
2124,The Scarlet Letter A Romance,A1TIZI060W4BD9,3.0
2150,The Scarlet Letter A Romance,A29CUCGRX04TS8,3.0
2168,The Scarlet Letter A Romance,A1OLGW6LUM9M5U,4.0
2173,The Scarlet Letter A Romance,A28WSXVR56HF9M,3.0
2175,The Scarlet Letter A Romance,A3JGOKYJPPARHO,5.0
2177,The Scarlet Letter A Romance,A1BA72K4VK1UN1,3.0
2200,The Scarlet Letter A Romance,AI37YX1U4KB1L,4.0
2209,The Scarlet Letter A Romance,A2QL96SGZP59SR,1.0
